Country,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
JPN,1990,-1.7062732862003835,5.825495123077644,4.3481983561757245,9.881303375243435,5.676687157044127,-1.6264442629271874,0.7745672386898045,2.333585023880005
JPN,1991,-1.7632728171673084,5.828598682536029,4.349929488561644,9.945062106924428,5.676036893457998,-1.7106989254193308,0.7228006513059367,2.333585023880005
JPN,1992,-1.771090782904384,5.831081053345316,4.351696284866048,9.973557974726013,5.67523181207863,-1.7527423902176509,0.6228243425054376,2.333585023880005
JPN,1993,-1.7828477759005816,5.833549247471123,4.353447102790566,9.989313609136424,5.654100604497839,-1.8317144203835785,0.651074492837719,2.333585023880005
JPN,1994,-1.7608390254006805,5.836956105357748,4.355182020688641,10.016917406969286,5.6096402438135025,-1.8260731695988976,0.6883364885464452,2.333585023880005
JPN,1995,-1.7829842694339109,5.840774001369121,4.356913933858807,10.060903194887299,5.683689145905576,-1.7909908516437556,0.7344455240562837,2.07806134223938
JPN,1996,-1.8108787343565023,5.843580200967954,4.358566075294157,10.107045191398662,5.702198804428868,-1.6860759974126758,0.7778803679513693,2.07806134223938
JPN,1997,-1.828173131357707,5.845962913143869,4.360189940064707,10.132462087825079,5.763937388467879,-1.6074030744955858,0.8167188349012159,2.07806134223938
JPN,1998,-1.8466944670430965,5.84868020924618,4.36179841682689,10.1295890265844,5.762407083383519,-1.648593498887419,0.6578191692397566,2.07806134223938
JPN,1999,-1.8427233513658847,5.8505060729875815,4.363391575504684,10.139575256224537,5.76643826730269,-1.6955972985049768,0.6496770908772432,2.07806134223938
JPN,2000,-1.882808864622777,5.8521788287687135,4.364994914865287,10.197599832836023,5.801386108386729,-1.6184961794657406,0.7954014543947744,2.333585023880005
JPN,2001,-1.9248279903585581,5.854588354643926,4.3819016268607305,10.220942505137266,5.84714876337022,-1.6195827918996302,0.6855543060252425,2.333585023880005
JPN,2002,-1.9536196139343427,5.856913626514981,4.4024050765491785,10.245661631809204,5.802028408940173,-1.5757318308250607,0.7184469710031772,2.333585023880005
