Country Code,Year,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EN.POP.DNST,IP.PAT.NRES,IP.PAT.RESD,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
ALB,2004,7.579945724712571,10.81686633302,110.472226277372,,,1596261928.9261,3220867804.41529,67.047228208342,24.6655230886557,7184681398.5698,5422.80295242047,7738.54283618405,3026939.0,45.651
ALB,2005,8.150989629566551,11.407112595349,109.908284671533,386.0,,1853022970.79312,3853670510.6523204,70.8723282677903,25.081704496280103,8052075642.107809,5865.32480335253,8208.38002264685,3011487.0,46.731
ALB,2006,9.27856213264593,12.375442293126198,109.21704379562,,,2242665086.02148,4364189416.47282,74.2670817296107,25.3081868713657,8896073938.31407,6558.638933593111,8747.69780961595,2992547.0,47.815
ALB,2007,10.7018877581443,13.7397566489908,108.394781021898,,,3016116154.4169397,5867639633.34325,83.20210078682771,25.3402998998185,10677321490.3807,7275.804301164829,9341.13520744122,2970017.0,48.902
ALB,2008,11.5770017483436,14.237199701649198,107.566204379562,,,3259293923.566,6717539984.69508,77.45174791279959,25.161020270598197,12881354103.8398,8228.33660934276,10119.06831027,2947314.0,49.99100000000001
ALB,2009,12.0460353877029,14.377356632480199,106.843759124088,361.0,,3040048284.81513,6004539467.51935,75.09481921410999,24.4136512883637,12044223352.5413,8821.51266402369,10528.7781022196,2927519.0,51.076
ALB,2010,13.214188507383302,15.049504996809,106.31463503649599,,,3337085745.45853,5792185435.94322,76.5433546212188,24.937467006194897,11926928505.5231,9635.18333221744,10973.412375823,2913021.0,52.163000000000004
ALB,2011,13.3440368854231,14.7496685725404,106.02901459854,8.0,3.0,3769457697.9418397,6700236878.04646,81.2185647062601,24.484407516121003,12890765324.2256,10207.7694356273,11283.0335627206,2905195.0,53.247
ALB,2012,15.302154746043598,16.6622323286051,105.85405109489099,,,3565049332.5273,5860877558.83022,76.51020101890221,22.918513921606497,12319830252.4768,10526.2950176329,11461.887299799098,2900401.0,54.33
ALB,2013,13.1917905359814,14.4733925290921,105.66029197080299,4.0,,3694412184.4397397,5999380803.488621,75.87373351698541,23.061336904157,12776217194.7928,10570.9771804821,11597.9632735891,2895092.0,55.387
ALB,2014,13.926853706187101,14.630647321101199,105.441751824818,3.0,10.0,3732057451.6496,6243003602.57869,75.40786559276309,21.508857890050898,13228144008.3428,11259.2462059653,11828.232263813,2889104.0,56.423
ALB,2015,,,105.135145985401,5.0,14.0,3104896964.71229,5070975939.51177,71.80102967111941,21.7636624840832,11386846319.1589,11661.9768725943,12125.9314807437,2880703.0,57.434
ALB,2016,,,104.967189781022,5.0,20.0,3437126527.9819603,5436220794.65131,74.8098567265253,21.141943255534898,11861200797.4707,12002.9318987545,12547.928084194,2876101.0,58.42100000000001
ALB,2017,,,104.870693430657,8.0,16.0,4110290931.98992,6070360537.36356,78.19424864157699,20.3584082909885,13019693450.8816,13037.0100155002,13037.0100155002,2873457.0,59.383
ALB,2018,,,104.61226277372299,3.0,15.0,4776973438.08455,6856096905.9869,76.8010468916574,21.284018838909603,15147020535.3869,13833.9816028337,13601.3033805754,2866376.0,60.318999999999996
ALB,2019,,,,,,4814309044.63144,6908299985.070661,76.72829955517791,20.057324603681604,15278077446.8643,14495.0785140737,13961.7965978885,2854191.0,61.229
AND,1980,,,76.7382978723404,,,,,,,446416105.825017,,,36067.0,92.064
AND,1981,,,79.78723404255321,,,,,,,388958731.302938,,,37500.0,92.8
AND,1982,,,83.22127659574471,,,,,,,375895956.383462,,,39114.0,93.47399999999999
AND,1983,,,86.9510638297872,,,,,,,327861832.94663596,,,40867.0,94.089
AND,1984,,,90.863829787234,,,,,,,330070689.29828197,,,42706.0,94.649
AND,1985,,,94.89361702127658,,,,,,,346737964.774951,,,44600.0,95.15899999999999
AND,1986,,,98.9723404255319,,,,,,,482000594.03587997,,,46517.0,95.325
AND,1987,,,103.095744680851,,,,,,,611316399.407088,,,48455.0,95.178
AND,1988,,,107.306382978723,,,,,,,721425939.15155,,,50434.0,95.027
AND,1989,,,111.591489361702,,,,,,,795449332.396346,,,52448.0,94.87200000000001
AND,1990,,,115.97659574468099,,,,,,,1029048481.88051,,,54509.0,94.712
AND,1991,,,120.576595744681,,,,,,,1106928582.86629,,,56671.0,94.53
AND,1992,,,125.29361702127702,,,,,,,1210013651.87713,,,58888.0,94.324
AND,1993,,,129.72553191489402,,,,,,,1007025755.00065,,,60971.0,94.111
AND,1994,,,133.35531914893602,,,,,,,1017549124.33238,,,62677.0,93.89
AND,1995,,,135.851063829787,,,,,,,1178738991.19295,,,63850.0,93.661
AND,1996,,,136.936170212766,,,,,,,1223945356.6268198,,,64360.0,93.425
AND,1997,,,136.865957446809,,,,,,,1180597272.72727,,,64327.0,93.18
AND,1998,,,136.472340425532,,,,,,,1211932397.81713,,,64142.0,92.927
AND,1999,,,136.957446808511,,,,,,,1239876305.13531,,,64370.0,92.666
AND,2000,,,139.127659574468,,,,,,,1429049198.4521801,,,65390.0,92.395
AND,2001,,,143.278723404255,,,,,,,1546926174.49664,,,67341.0,92.056
AND,2002,,,149.040425531915,,,,,,,1755910031.99699,,,70049.0,91.641
AND,2003,,,155.70638297872298,,,,,,,2361726862.30248,,,73182.0,91.20700000000001
AND,2004,,,162.221276595745,,,,,,,2894921777.9985104,,,76244.0,90.751
AND,2005,,,167.80212765957398,,,,,,,3159905484.39249,,,78867.0,90.285
AND,2006,,,172.325531914894,,,,,,,3456442102.622,,,80993.0,89.807
AND,2007,,,175.92340425531899,,,,,,,3952600602.2447295,,,82684.0,89.30799999999999
AND,2008,,,178.429787234043,,,,,,,4085630584.4441204,,,83862.0,89.00399999999999
AND,2009,,,179.708510638298,,,,,,,3674409558.2106104,,,84463.0,88.912
AND,2010,,,179.67872340425498,,,,,,,3449966856.68832,,,84449.0,88.819
AND,2011,,,178.185106382979,,,,,,,3629203786.19154,,,83747.0,88.726
AND,2012,,,175.37659574468103,,,,,,,3188808942.56713,,,82427.0,88.631
